INDEX,CARD,CLA1,CLA2,SCA1,SCA2,SCA3,PUR1,PUR2,PUR3,CUL1,CUL2,CUL3,USA1,USA2,USA3,ADD1,ADD2,ADD3,PRICE,Y
24,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,150000,6
24,2,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,200000,9
24,3,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,100000,1
24,4,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,200000,5
24,5,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,150000,1
24,6,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,200000,1
24,7,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,150000,0
24,8,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,150000,4
24,9,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,150000,6
24,10,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,200000,2
24,11,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,100000,5
24,12,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,200000,5
24,13,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,100000,2
24,14,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,150000,3
24,15,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,100000,5
24,16,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,100000,7
24,17,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,200000,5
24,18,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,100000,6
27,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,150000,10
27,2,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,200000,8
27,3,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,100000,0
27,4,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,200000,0
27,5,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,150000,5
27,6,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,200000,8
27,7,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,150000,7
27,8,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,150000,8
27,9,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,150000,0
27,10,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,200000,0
27,11,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,100000,3
27,12,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,200000,0
27,13,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,100000,2
27,14,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,150000,3
27,15,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,100000,5
27,16,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,100000,0
27,17,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,200000,4
27,18,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,100000,6
31,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,150000,5
31,2,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,200000,5
31,3,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,100000,7
31,4,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,200000,5
31,5,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,150000,5
31,6,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,200000,5
31,7,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,150000,6
31,8,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,150000,5
31,9,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,150000,5
31,10,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,200000,5
31,11,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,100000,6
