,Coefficient,Standard error,P-value
Intercept,3.90575396825397,0.32892177381107796,0.0
CLA2,-0.014880952380948748,0.16679378196556982,0.928927
SCA2,0.23511904761905117,0.19259686983395496,0.222457
SCA3,0.7678571428571453,0.1925968698339552,7.2e-05
PUR2,0.16964285714284644,0.1925968698339551,0.378629
PUR3,-0.33630952380952317,0.19259686983395502,0.081088
CUL2,-0.6428571428571438,0.19259686983395494,0.000876
CUL3,-1.0863095238095246,0.19259686983395505,0.0
USA2,1.008928571428572,0.19259686983395524,0.0
USA3,1.1994047619047628,0.19259686983395524,0.0
ADD2,0.6458333333333311,0.19259686983395483,0.000829
ADD3,0.6785714285714252,0.19259686983395558,0.000446
PRICE,-0.05952380952381131,0.09629843491697768,0.536639
