INDEX,Intercept,CLA2,SCA2,SCA3,PUR2,PUR3,CUL2,CUL3,USA2,USA3,ADD2,ADD3,PRICE
24,3.762,0.032,0.093,0.043,0.071,0.118,0.269,0.191,-0.058,0.32,-0.827,0.319,0.07
27,3.27,0.351,0.531,-0.37,0.05,-0.017,-0.267,0.658,-0.241,0.244,0.043,1.109,-0.239
31,4.425,0.11,0.192,0.192,0.057,0.131,0.183,0.296,0.147,0.14,0.241,0.084,0.234
33,3.824,0.15,0.068,-0.181,-0.06,0.155,0.056,-0.098,0.304,0.204,0.005,0.082,0.382
34,3.022,0.151,0.149,-0.002,-0.125,0.028,-0.072,0.058,0.156,0.05,0.101,0.215,0.064
36,3.447,0.126,0.177,-0.021,-0.269,0.13,0.028,0.022,0.07,-0.034,0.064,0.079,0.079
38,3.83,0.11,0.06,0.062,0.163,0.125,0.125,-0.14,0.262,0.19,0.189,0.111,0.01
40,4.271,0.066,0.214,0.313,0.092,0.05,0.349,0.134,0.134,0.192,0.142,0.013,0.514
51,4.276,-0.01,0.149,0.4,-0.058,0.158,0.457,0.607,-0.44,0.251,-0.149,0.021,0.72
52,3.625,-0.073,0.294,0.243,-0.046,-0.009,0.543,0.148,1.348,-0.114,0.135,0.194,-0.107
55,3.888,0.093,0.296,0.298,0.358,0.104,0.554,0.344,-0.202,-0.196,-0.047,0.205,0.454
57,4.195,0.038,0.22,0.569,0.404,0.149,-0.0,0.419,-0.08,0.548,0.049,0.262,0.011
58,5.723,0.362,0.545,0.596,0.505,0.183,0.383,0.177,0.326,0.225,0.276,0.433,0.582
60,3.263,0.208,0.121,-0.228,-0.131,0.307,0.355,-0.066,-0.366,0.083,-0.514,0.169,0.171
63,4.283,0.266,0.26,0.861,0.124,0.174,0.176,0.059,0.16,0.284,0.133,0.317,0.866
64,3.827,0.057,0.177,0.076,-0.394,0.243,0.142,0.186,0.136,0.069,0.12,0.129,0.128
68,3.442,0.269,0.235,-0.263,0.317,-0.693,1.304,0.166,-0.833,-0.692,1.306,0.305,0.306
71,3.849,-0.004,0.407,0.106,-0.318,0.071,0.12,0.248,0.198,-0.086,0.213,0.624,0.523
75,4.396,0.129,0.493,0.243,0.306,0.334,0.335,0.372,-0.278,-0.044,0.005,0.25,0.55
76,3.073,0.023,0.13,0.429,-0.078,0.194,0.047,0.023,0.026,0.166,-0.183,0.102,0.651
77,3.201,-0.305,0.213,0.112,-0.003,0.015,0.313,0.157,0.106,0.114,-0.236,0.1,0.099
80,4.849,0.436,0.589,0.339,0.048,0.183,0.678,0.318,0.417,0.091,0.391,0.782,0.084
82,3.661,0.083,0.03,0.03,-0.254,0.178,0.326,0.414,-0.933,0.143,-0.405,0.278,0.228
86,3.69,0.196,0.013,0.364,-0.136,0.215,0.165,0.107,0.205,0.178,-0.12,0.002,0.25
88,5.243,0.371,0.046,0.545,0.054,0.66,0.062,0.36,-0.09,0.382,0.082,0.257,0.01
90,3.385,0.098,0.105,0.052,0.23,0.017,0.266,0.112,0.111,-0.297,0.453,-0.138,0.362
93,1.983,0.006,-0.065,0.335,-0.215,0.037,0.238,-0.071,-0.171,-0.179,-0.129,-0.108,0.442
94,4.459,0.154,0.172,0.176,0.224,0.174,0.175,0.172,0.175,-0.037,-1.534,0.174,0.174
