INDEX,CARD,CLA1,CLA2,SCA1,SCA2,SCA3,PUR1,PUR2,PUR3,CUL1,CUL2,CUL3,USA1,USA2,USA3,ADD1,ADD2,ADD3,PRICE,Y,Cluster
24,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,2,6,0
24,2,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,3,9,0
24,3,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0
24,4,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,3,5,0
24,5,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,2,1,0
24,6,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,3,1,0
24,7,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,2,0,0
24,8,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,2,4,0
24,9,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,2,6,0
24,10,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,3,2,0
24,11,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,5,0
24,12,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,3,5,0
24,13,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,2,0
24,14,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,2,3,0
24,15,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,5,0
24,16,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,7,0
24,17,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,3,5,0
24,18,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,6,0
27,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,2,10,0
27,2,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,3,8,0
27,3,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0
27,4,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,3,0,0
27,5,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,2,5,0
27,6,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,3,8,0
27,7,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,2,7,0
27,8,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,2,8,0
27,9,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,2,0,0
27,10,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,3,0,0
27,11,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,3,0
27,12,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,3,0,0
27,13,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,2,0
27,14,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,2,3,0
27,15,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,5,0
27,16,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
27,17,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,3,4,0
27,18,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,6,0
31,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,2,5,1
31,2,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,3,5,1
31,3,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,7,1
31,4,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,3,5,1
31,5,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,2,5,1
31,6,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,3,5,1
31,7,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,2,6,1
31,8,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,2,5,1
31,9,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,2,5,1
31,10,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,3,5,1
31,11,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,6,1
31,12,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,3,5,1
31,13,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,5,1
31,14,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,2,5,1
31,15,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,6,1
31,16,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,5,1
31,17,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,3,5,1
31,18,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,5,1
33,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,2,5,0
33,2,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,3,3,0
33,3,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0
33,4,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,3,3,0
33,5,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,2,4,0
33,6,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,3,3,0
33,7,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,2,4,0
33,8,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,2,3,0
33,9,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,2,5,0
33,10,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,3,6,0
33,11,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,7,0
33,12,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,3,5,0
33,13,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,4,0
33,14,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,2,3,0
33,15,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,4,0
33,16,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,5,0
33,17,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,3,3,0
33,18,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,5,0
