,Coefficient,Standard error,P-value
Intercept,5.01519916142558,0.32700671710422596,0.0
BIO2,0.5817610062893077,0.20024989984200064,0.003756
BIO3,0.657232704402515,0.20024989984200045,0.001068
SCA2,0.12893081761005976,0.20024989984200064,0.51983
SCA3,0.628930817610057,0.2002498998420005,0.001738
KNO2,0.16981132075471583,0.20024989984200012,0.396655
KNO3,0.19182389937107114,0.2002498998420008,0.338348
USE2,0.015723270440252013,0.2002498998420005,0.937432
USE3,0.1572327044025159,0.20024989984200087,0.432544
MET2,0.6965408805031458,0.17342150036846188,6.4e-05
ANA2,0.6729559748427694,0.17342150036846182,0.000112
PRICE,-0.8301886792452841,0.10012494992100028,0.0
