INDEX,CARD,BIO1,BIO2,BIO3,SCA1,SCA2,SCA3,KNO1,KNO2,KNO3,USE1,USE2,USE3,MET1,MET2,ANA1,ANA2,PRICE,Y,Cluster
14,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,3,2,0
14,2,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,2,3,0
14,3,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,5,0
14,4,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,3,1,0
14,5,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,2,4,0
14,6,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,2,2,0
14,7,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,6,0
14,8,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,3,0
14,9,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,6,0
14,10,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,6,0
14,11,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,6,0
14,12,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,2,1,0
14,13,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,3,1,0
14,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,3,1,0
14,15,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,2,4,0
14,16,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,3,2,0
14,17,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,3,2,0
14,18,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,2,2,0
17,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,3,4,1
17,2,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,2,5,1
17,3,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,10,1
17,4,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,3,5,1
